iter	Passed	Remaining
0	166	133029
1	218	87241
2	265	70634
3	310	61789
4	359	57211
5	412	54625
6	462	52439
7	519	51443
8	570	50120
9	615	48599
10	660	47346
11	707	46461
12	756	45807
13	806	45251
14	852	44600
15	900	44124
16	950	43783
17	998	43374
18	1046	43017
19	1092	42608
20	1136	42161
21	1185	41906
22	1234	41714
23	1290	41712
24	1338	41491
25	1385	41240
26	1435	41084
27	1483	40909
28	1536	40837
29	1585	40685
30	1633	40532
31	1672	40146
32	1725	40099
33	1767	39831
34	1816	39699
35	1859	39458
36	1907	39338
37	1960	39303
38	1999	39014
39	2042	38814
40	2090	38692
41	2137	38570
42	2181	38407
43	2227	38264
44	2273	38138
45	2315	37947
46	2356	37759
47	2396	37537
48	2436	37344
49	2477	37157
50	2522	37047
51	2569	36963
52	2615	36863
53	2658	36725
54	2703	36621
55	2742	36441
56	2781	36261
57	2826	36155
58	2865	35989
59	2906	35841
60	2949	35730
61	2992	35623
62	3032	35471
63	3076	35380
64	3129	35389
65	3173	35295
66	3217	35203
67	3261	35110
